37_5622_20170913203118 高德地图
37_5622_20170914130243 给我播放中央电视台中视购物
37_5622_20170914130251 请你原谅我第五集
37_5622_20170914130259 给我播放十月围城第六集
37_5622_20170914130307 请来一首蔡琴的歌
37_5622_20170914130316 请来一首苏永康演唱的歌
37_5622_20170914130323 给我播一个英雄泪
37_5622_20170914130330 地下交通站第一集
37_5622_20170914130337 请切换到省电模式
37_5622_20170914130344 我想看茶馆第九集
37_5622_20170914130353 请播一个郑中基演唱的歌
37_5622_20170914130401 我想收看香港新知台
37_5622_20170914130410 我想看遇见王沥川第五集
37_5622_20170914130418 我想看约会专家第六集
37_5622_20170914130426 变温温度调到负三度
37_5622_20170914130435 请给我来一个庾澄庆演唱的歌
37_5622_20170914130451 请给我来一首最美
37_5622_20170914130500 冷冻设为零下二十四摄氏度
37_5622_20170914130508 请给我播一个刀剑如梦
37_5622_20170914130517 来一个熊平天唱的歌
37_5622_20170914130524 给我来一首五月天唱的歌
37_5622_20170914130532 请来首无印良品的歌曲
37_5622_20170914130539 来一首大海
37_5622_20170914130547 开始播放贞观之治第三十四集
37_5622_20170914130554 我要切换到学习
37_5622_20170914130602 我想看我们无处安放的青春第六集
37_5622_20170914130609 请来首那英唱的歌
37_5622_20170914130619 请给我来个风中有朵雨做的云
37_5622_20170914130626 给我来个韩磊的歌
37_5622_20170914130633 我想看老农民第三十四集
37_5622_20170914130640 请给我来首伍佰的歌曲
37_5622_20170914130646 请给我播放重庆卫视
37_5622_20170914130655 请来一首张惠妹的歌曲
37_5622_20170914130703 播一个罗文的专辑
37_5622_20170914130711 给我来一个莫文蔚演唱的歌
37_5622_20170914130720 请给我播放大染坊第九集
37_5622_20170914130820 给我播放沉默的证人第七集
37_5622_20170914130829 变温室温度设为负十一度
37_5622_20170914130839 请播放父母爱情第三十四集
37_5622_20170914130846 请给我来首狼
37_5622_20170914130854 请给我来个毛阿敏最新的歌
37_5622_20170914130902 给我来个郑钧的专辑
37_5622_20170914130912 我要看湖南时尚频道的节目
37_5622_20170914130920 来一首蔡健雅演唱的歌
37_5622_20170914130927 播一个陶喆的专辑
37_5622_20170914130935 请来一个李克勤的歌曲
37_5622_20170914130943 请播一个别问我是谁
37_5622_20170914130954 冷藏室温度设为七摄氏度档
37_5622_20170914131001 来首许冠杰的歌曲
37_5622_20170914131008 来首蔡琴唱的歌
37_5622_20170914131016 请给我来一首郑钧演唱的歌
37_5622_20170914131024 请来一首姜育恒最新的歌
37_5622_20170914131034 温度加十度
37_5622_20170914131047 变温温度设为零下十摄氏度档
37_5622_20170914131100 请来首崔健的歌曲
37_5622_20170914131110 请来个许嵩演唱的歌
37_5622_20170914131118 播放舞乐传奇六集
37_5622_20170914131126 给我来个周杰伦的专辑
37_5622_20170914131134 给我播放后宫甄嬛传第五集
37_5622_20170914131142 给我播放大明宫词第七集
37_5622_20170914131150 来一个胡彦斌演唱的歌
37_5622_20170914131158 请播放士兵突击第一集
37_5622_20170914131205 吴子牛主导的影视
37_5622_20170914131213 给我来一个苏永康演唱的歌
37_5622_20170914131223 给我来首苏芮唱的歌
37_5622_20170914131232 给我来一个雪候鸟
37_5622_20170914131240 请给我播一个张震岳最新的歌
37_5622_20170914131249 播放好想好想谈恋爱第六集
37_5622_20170914131257 请给我来一首红日
37_5622_20170914131304 请播一个杜德伟的歌曲
37_5622_20170914131311 父母爱情第五集
37_5622_20170914131319 请给我播放潜伏第三十四集
37_5622_20170914131326 给我来一个周传雄的歌
37_5622_20170914131335 变温室温度设为负二度档
37_5622_20170914131343 请给我来一首许茹芸演唱的歌
37_5622_20170914131349 来一个韩红的专辑
37_5622_20170914131412 请给我来首林志炫的歌曲
37_5622_20170914131422 播一个孙燕姿唱的歌
37_5622_20170914131430 叶大樱相关的影视
37_5622_20170914131438 给我播放金婚第一集
37_5622_20170914131447 请给我来一个孤独的人是可耻的
37_5622_20170914131456 请给我播一个许冠杰的歌曲
37_5622_20170914131503 请来首信乐团的专辑
37_5622_20170914131510 我想听张信哲唱的歌
37_5622_20170914131518 给我来个范玮琪演唱的歌
37_5622_20170914131525 来首许茹芸的专辑
37_5622_20170914131532 我要看凤凰卫视中文台
37_5622_20170914131540 请给我来一个苏打绿演唱的歌
37_5622_20170914131548 请给我播放发条城市
37_5622_20170914131558 我想收看中央电视台西法频道的节目
37_5622_20170914131609 变温室调到零下十三度
37_5622_20170914131618 信号不好有时没信号
37_5622_20170914131626 没吵架我就放心了
37_5622_20170914131633 别抽了
37_5622_20170914131641 放学也不知道给我打个电话
37_5622_20170914131647 等灯堵
37_5622_20170914131654 晚上约了人谈点事
37_5622_20170914131700 吃啥呢几点回
37_5622_20170914131706 我朋友那要人
37_5622_20170914131713 吃点饭在做车
37_5622_20170914131719 想啊想抱抱
37_5622_20170914131725 无所谓啦
37_5622_20170914131734 发信息你能看到吗
37_5622_20170914131742 来检查的啦吧
37_5622_20170914131750 一会的
37_5622_20170914131758 咋了他明天给我发货杰
37_5622_20170914131807 在吗姐你再有几天就回来了
37_5622_20170914131814 老公我还在上班呢
37_5622_20170914131821 亲爱的上网呗
37_5622_20170914131829 你走开了没我饿的
37_5622_20170914131839 昌平区北七家建材市场刘功亿
37_5622_20170914131844 想吃什么
37_5622_20170914131853 跟我出去买衣服去吧
37_5622_20170914131900 学姐几点下课呀
37_5622_20170914131909 我是孙丹手机没费了给我充
37_5622_20170914131916 都买衣服了
37_5622_20170914131925 嗯回家今天限号回家要晚八点多
37_5622_20170914131940 现在你们那几度啊刚回寝室的时候穿棉袄都冻得我要死明天还更冷一到十四度
37_5622_20170914132000 对过了那块就好了反正就在那个公交车站等
37_5622_20170914132009 爸回来别买菜了我买了
37_5622_20170914132015 我爱你才在
37_5622_20170914132021 是精神上
37_5622_20170914132030 还是上不去呀老婆我吃饭了方便面等我
37_5622_20170914132037 我在后座呢
37_5622_20170914132043 你在哪组
37_5622_20170914132050 邮件已发请查收
37_5622_20170914132101 是啊每天三个来小时能发多少光啊你在哪先坐会呗
37_5622_20170914132108 给贺有才一起吃
37_5622_20170914132114 为什么越加越少
37_5622_20170914132126 我们这刚才这断网了而且我刚才忙所以就没说
37_5622_20170914132133 我以为你不要我
37_5622_20170914132139 饭在实验室
37_5622_20170914132147 那我现在去你家
37_5622_20170914132153 晚上打电话
37_5622_20170914132235 亲爱的宝贝快下班了宝贝记住下班回家的路上要注意安全哦开心一点宝贝你要是不开心我也会难受的不开心时想想儿子想想我就会高兴起来了亲爱的晚饭
37_5622_20170914182138 不了一会儿我送完你回来再吃
37_5622_20170914182150 合同签好没
37_5622_20170914182157 这是你刚换的啊
37_5622_20170914182229 先说说看
37_5622_20170914182240 我的快七点吧
37_5622_20170914182255 嗯嗯呵呵放心吧你也是
37_5622_20170914182304 到西便门了
37_5622_20170914182313 要求赛特周五到
37_5622_20170914182322 我下馆子去了
37_5622_20170914182328 后仓快
37_5622_20170914182335 看情绪啊
37_5622_20170914182343 保洁在北京也没有回来
37_5622_20170914182352 老公我会拌馅子了
37_5622_20170914182401 媳妇翻篇了高兴点哈
37_5622_20170914182409 好多人
37_5622_20170914182415 我心疼啊
37_5622_20170914182422 就是不放心
37_5622_20170914182428 你还想要什么
37_5622_20170914182437 七月初和九月末飞行视频也给你
37_5622_20170914182455 我给熊猫说你爱吃
37_5622_20170914182502 有船吗
37_5622_20170914182510 好的查了
37_5622_20170914182519 装吧早晚要用的跑不了啊
37_5622_20170914182547 臭臭妈妈到家了我以为你不会给我回复所以路上没注意手机儿子不知何时回来你可电话
37_5622_20170914182612 晚上没有餐顾姐找我吃饭你让张哥给你拿文件
37_5622_20170914182619 陈彦
37_5622_20170914182630 去我还没吃饭六点去吃饭
37_5622_20170914182637 都不用哄
37_5622_20170914182654 来媳妇干啥啊呢
37_5622_20170914182701 领导辛苦了
37_5622_20170914182709 那我只有他这个号
37_5622_20170914182716 嗯那她一定喜欢你
37_5622_20170914182724 没我们在外边吃呢
37_5622_20170914182734 嗯那好吧按玲遛
37_5622_20170914182742 刘鑫让我问你在不在北京
37_5622_20170914182755 离婚吧你就是不想跟我待着我看出来了
37_5622_20170914182810 一般定亚奥
37_5622_20170914182817 我们星期四专业汇报
37_5622_20170914182825 我在修机器得晚点回去
37_5622_20170914182831 问她了买
37_5622_20170914182839 中高端农产品进口最多的国家
37_5622_20170914182845 转过来了吗
37_5622_20170914182851 应酬
37_5622_20170914182858 上了四次吧
37_5622_20170914182904 不用回电了你知道了吧
37_5622_20170914182920 我感觉你现在特烦我都不想跟我多说一句话不知道是我想多了还是事实
37_5622_20170914182929 剪头呢
37_5622_20170914182935 不加班啦明天还体检呢
37_5622_20170914182942 我也是很幸运认识你
37_5622_20170914182949 米岚姐最近有时间过来吗
37_5622_20170914182954 照片呀
37_5622_20170914183002 啊看你还是别干了休息休息吧
37_5622_20170914183008 你接电话了
37_5622_20170914183013 我说你是干嘛的
37_5622_20170914183018 景色好吧
37_5622_20170914183027 别和我说话了和你没共同语言
37_5622_20170914183034 别说是我说的
37_5622_20170914183041 等我啊一块挤地铁去
37_5622_20170914183055 算了显得我很特殊那人不喜欢吃米饭菜在银行吃也是面
37_5622_20170914183102 老头儿儿子接回家了吗
37_5622_20170914183110 看西边的云镀了粉红的金边
37_5622_20170914183121 九点吧我也不知道我一直没上今是有事才去的
37_5622_20170914183136 还疼吗宝贝
37_5622_20170914183147 就是一点办法都没有
37_5622_20170914183317 吃完了不
37_5622_20170914183324 貌似走不了
37_5622_20170914183351 对了我刚才打电话问过数字电视了他们费用都按月扣的
37_5622_20170914183358 干嘛什么意思
37_5622_20170914183403 明早上班
37_5622_20170914183410 想穿买一个
37_5622_20170914183417 女人明天去哪认证啊
37_5622_20170914183544 粱姐您好我是刚才给您打电话的王龙您那天有时间来时姐您一定记得联系我一下我叫王龙
37_5622_20170914183551 哪我去了怎么睡啊
37_5622_20170914183602 你在看电影吗
37_5622_20170914183608 上回哪里的
37_5622_20170914183614 一定要对着话筒说
37_5622_20170914183626 那照片是我去年在深圳做过防暴队的时候拍的
37_5622_20170914183633 你来说几句试试
37_5622_20170914183641 我是你家的笑贝
37_5622_20170914183646 这个新功能完全
37_5622_20170914183652 两个两个人
37_5622_20170914183659 能做个朋友嘛
37_5622_20170914183704 你也不赖呀
37_5622_20170914183711 亲爱的你睡醒了吗
37_5622_20170914183718 还不如在那里买呀
37_5622_20170914183724 一个人在家吗
37_5622_20170914183732 什么用罢享一下呗
37_5622_20170914183802 不是自作多情
37_5622_20170914183809 我在刘晨家
37_5622_20170914183816 昨儿搞得不野吧
37_5622_20170914183823 你听不听得到语音呀
37_5622_20170914183830 睡不着觉了
37_5622_20170914183835 可以干什么的
37_5622_20170914183842 为什么我听不到你说话
37_5622_20170914183849 随便塞一些东西给你
37_5622_20170914183855 好像是从网页上下载的
37_5622_20170914183904 谁烦人了呀
37_5622_20170914183910 人品爆发了
37_5622_20170914183917 刚才我手写的
37_5622_20170914183924 明天要不要去哪里玩
37_5622_20170914183929 行那你去忙吧
37_5622_20170914183958 牛魔王哪吒三太子孙悟空猪八戒唐僧沙和尚
37_5622_20170914184008 做饭吃我肚子好饿呀
37_5622_20170914184023 一千五百买你这个人好吗
37_5622_20170914184029 真是个悲剧
37_5622_20170914184037 何时回来告诉我
37_5622_20170914184043 感冒就是悲剧
37_5622_20170914184049 在黑水池游泳吗
37_5622_20170914184055 你觉得我开心吗
37_5622_20170914184101 我要当老板
37_5622_20170914184108 曲项向天歌
37_5622_20170914184115 赖毛了小刘你是个锤子
37_5622_20170914184121 有很好的自学能力
37_5622_20170914184129 是不是我就太自私了
37_5622_20170914184136 那你怎么认识我的一个朋友
37_5622_20170914184150 我也正在玩游戏
37_5622_20170914184200 诶姐姐他不是在跟一起上网吗
37_5622_20170914184206 你在公司干什么
37_5622_20170914184214 穿雨衣戴安全帽的孩子是好孩子
37_5622_20170914184220 吃晚饭还是夜宵
37_5622_20170914184226 你看我说了好几次
37_5622_20170914184232 晚上没有睡好
37_5622_20170914184243 我日你明天上完不会来啊
37_5622_20170914184251 他进得来的
37_5622_20170914184259 宁夏的也免邮吗
37_5622_20170914184312 小心我抽你
37_5622_20170914184320 你有能力自己
37_5622_20170914184326 那你就贪财
37_5622_20170914184332 你就是个大笨蛋
37_5622_20170914184338 李健齐是猪
37_5622_20170914184344 很好笑是吧
37_5622_20170914184355 你好吃饭没有如果没有吃我一会去吃火锅
37_5622_20170914184404 好啦你早点休息吧我去我吃饭去
37_5622_20170914184410 那说什么呢
37_5622_20170914184417 让你尝尝滋味
37_5622_20170914184422 我现在有个机会
37_5622_20170914184427 你别说话不算数啊
37_5622_20170914184435 所以其中在长假放假
37_5622_20170914184441 上班没上网
37_5622_20170914184447 要不要我帮你杀
37_5622_20170914184455 王菲是一只猪
37_5622_20170914184504 为什么我说加你
37_5622_20170914184510 你准备干吗
37_5622_20170914184517 真真假假并不重要
37_5622_20170914184524 你是一个大坏蛋
37_5622_20170914184531 这个可以哟
37_5622_20170914184540 我看你的贵的还没有便宜的好
37_5622_20170914184547 我打字还是很慢吗
37_5622_20170914184552 今天星期几
37_5622_20170914184558 接了也听不清楚
37_5622_20170914184607 好无聊啊好无聊啊好无聊啊
37_5622_20170914184616 飞车下载好了吗
37_5622_20170914184623 你才爽呢还得奖
37_5622_20170914184633 你说我从家里来学校是吧
37_5622_20170914184640 有没有稍微婉转一点的
37_5622_20170914184645 二加二等于四
37_5622_20170914184654 你现在就是赚没的数的钱是吧
37_5622_20170914184702 罗林线你是猪
37_5622_20170914184708 李洪川是酒鬼
